Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage,adm1_pcode,adm2_pcode
Apr-23,COD,109569000,Haut-Katanga,Kasenga,first projection,01/01/2023,30/06/2023,3+,87795,0.2,CD71,CD7107
Apr-23,COD,109569000,Haut-Katanga,Kipushi,first projection,01/01/2023,30/06/2023,3+,34256,0.1,CD71,CD7102
Apr-23,COD,109569000,Haut-Katanga,Lubumbashi,first projection,01/01/2023,30/06/2023,3+,0,0,CD71,CD7101
Apr-23,COD,109569000,Haut-Katanga,Mitwaba,first projection,01/01/2023,30/06/2023,3+,117569,0.35,CD71,CD7108
Apr-23,COD,109569000,Haut-Katanga,Pweto,first projection,01/01/2023,30/06/2023,3+,130398,0.2,CD71,CD7109
Apr-23,COD,109569000,Haut-Katanga,Sakania,first projection,01/01/2023,30/06/2023,3+,27102,0.1,CD71,CD7104
Apr-23,COD,109569000,Kasaï,Ilebo,first projection,01/01/2023,30/06/2023,3+,137349,0.3,CD92,CD9205
Apr-23,COD,109569000,Kasaï,Kamonia,first projection,01/01/2023,30/06/2023,3+,399771,0.35,CD92,CD9202
Apr-23,COD,109569000,Kasaï,Dekese,first projection,01/01/2023,30/06/2023,3+,12856,0.1,CD92,CD9208
Apr-23,COD,109569000,Kasaï,Luebo,first projection,01/01/2023,30/06/2023,3+,121445,0.35,CD92,CD9204
Apr-23,COD,109569000,Kasaï,Mweka,first projection,01/01/2023,30/06/2023,3+,117088,0.2,CD92,CD9207
Apr-23,COD,109569000,Lomami,Kamiji,first projection,01/01/2023,30/06/2023,3+,35122,0.4,CD81,CD8105
Apr-23,COD,109569000,Lomami,Mwene ditu,first projection,01/01/2023,30/06/2023,3+,59479,0.1,CD81,CD8103
Apr-23,COD,109569000,Lomami,Ngandajika,first projection,01/01/2023,30/06/2023,3+,68319,0.1,CD81,CD8106
Apr-23,COD,109569000,Lomami,Kabinda,first projection,01/01/2023,30/06/2023,3+,59200,0.1,CD81,CD8102
Apr-23,COD,109569000,Lomami,Lubao,first projection,01/01/2023,30/06/2023,3+,47992,0.1,CD81,CD8108
Apr-23,COD,109569000,Lomami,Luilu,first projection,01/01/2023,30/06/2023,3+,228015,0.3,CD81,CD8104
Apr-23,COD,109569000,Tshopo,Bafwasende,first projection,01/01/2023,30/06/2023,3+,59538,0.3,CD51,CD5111
Apr-23,COD,109569000,Tshopo,Ubundu,first projection,01/01/2023,30/06/2023,3+,44158,0.15,CD51,CD5102
Apr-23,COD,109569000,Tshopo,Banalia,first projection,01/01/2023,30/06/2023,3+,72746,0.3,CD51,CD5110
Apr-23,COD,109569000,Tshopo,Basoko,first projection,01/01/2023,30/06/2023,3+,96715,0.3,CD51,CD5109
Apr-23,COD,109569000,Tshopo,Isangi,first projection,01/01/2023,30/06/2023,3+,133068,0.25,CD51,CD5105
Apr-23,COD,109569000,Tshopo,Kisangani,first projection,01/01/2023,30/06/2023,3+,118969,0.15,CD51,CD5101
Apr-23,COD,109569000,Tshopo,Opala,first projection,01/01/2023,30/06/2023,3+,49729,0.2,CD51,CD5103
Apr-23,COD,109569000,Tshopo,Yahuma,first projection,01/01/2023,30/06/2023,3+,51645,0.3,CD51,CD5107
Apr-23,COD,109569000,Maï-Ndombe,Inongo,first projection,01/01/2023,30/06/2023,3+,73749,0.15,CD33,CD3302
Apr-23,COD,109569000,Maï-Ndombe,Yumbi,first projection,01/01/2023,30/06/2023,3+,38945,0.25,CD33,CD3310
Apr-23,COD,109569000,Maï-Ndombe,Bolobo,first projection,01/01/2023,30/06/2023,3+,45127,0.25,CD33,CD3308
Apr-23,COD,109569000,Maï-Ndombe,Kiri,first projection,01/01/2023,30/06/2023,3+,49063,0.2,CD33,CD3303
Apr-23,COD,109569000,Maï-Ndombe,Kutu,first projection,01/01/2023,30/06/2023,3+,73694,0.15,CD33,CD3306
Apr-23,COD,109569000,Maï-Ndombe,Kwamouth,first projection,01/01/2023,30/06/2023,3+,32521,0.2,CD33,CD3307
Apr-23,COD,109569000,Maï-Ndombe,Mushie,first projection,01/01/2023,30/06/2023,3+,24100,0.15,CD33,CD3311
Apr-23,COD,109569000,Maï-Ndombe,Oshwe,first projection,01/01/2023,30/06/2023,3+,64938,0.15,CD33,CD3304
Apr-23,COD,109569000,Haut-Lomami,Kamina,first projection,01/01/2023,30/06/2023,3+,33946,0.05,CD73,CD7302
Apr-23,COD,109569000,Haut-Lomami,Bukama,first projection,01/01/2023,30/06/2023,3+,349488,0.3,CD73,CD7306
Apr-23,COD,109569000,Haut-Lomami,Kabongo,first projection,01/01/2023,30/06/2023,3+,81843,0.1,CD73,CD7304
Apr-23,COD,109569000,Haut-Lomami,Kaniama,first projection,01/01/2023,30/06/2023,3+,15666,0.05,CD73,CD7303
Apr-23,COD,109569000,Haut-Lomami,Malemba-nkulu,first projection,01/01/2023,30/06/2023,3+,202971,0.2,CD73,CD7305
Apr-23,COD,109569000,Sankuru,Lusambo,first projection,01/01/2023,30/06/2023,3+,44952,0.1,CD83,CD8302
Apr-23,COD,109569000,Sankuru,Katako-kombe,first projection,01/01/2023,30/06/2023,3+,137656,0.3,CD83,CD8308
Apr-23,COD,109569000,Sankuru,Kole,first projection,01/01/2023,30/06/2023,3+,39963,0.15,CD83,CD8306
Apr-23,COD,109569000,Sankuru,Lomela,first projection,01/01/2023,30/06/2023,3+,43814,0.15,CD83,CD8307
Apr-23,COD,109569000,Sankuru,Lubefu,first projection,01/01/2023,30/06/2023,3+,183253,0.3,CD83,CD8309
Apr-23,COD,109569000,Sankuru,Territoire de LODJA,first projection,01/01/2023,30/06/2023,3+,201904,0.3,CD83,CD8303
Apr-23,COD,109569000,Kongo Central,Madimba,first projection,01/01/2023,30/06/2023,3+,118437,0.15,CD20,CD2017
Apr-23,COD,109569000,Kongo Central,Matadi,first projection,01/01/2023,30/06/2023,3+,60998,0.1,CD20,CD2001
Apr-23,COD,109569000,Kongo Central,Kimvula,first projection,01/01/2023,30/06/2023,3+,31068,0.2,CD20,CD2019
Apr-23,COD,109569000,Kongo Central,Mbanza-ngungu,first projection,01/01/2023,30/06/2023,3+,195514,0.15,CD20,CD2013
Apr-23,COD,109569000,Kongo Central,Boma,first projection,01/01/2023,30/06/2023,3+,47978,0.15,CD20,CD2002
Apr-23,COD,109569000,Kongo Central,Kasangulu,first projection,01/01/2023,30/06/2023,3+,22522,0.05,CD20,CD2015
Apr-23,COD,109569000,Kongo Central,Lukula,first projection,01/01/2023,30/06/2023,3+,91727,0.15,CD20,CD2005
Apr-23,COD,109569000,Kongo Central,Luozi,first projection,01/01/2023,30/06/2023,3+,47753,0.1,CD20,CD2010
Apr-23,COD,109569000,Kongo Central,Moanda,first projection,01/01/2023,30/06/2023,3+,63854,0.1,CD20,CD2003
Apr-23,COD,109569000,Kongo Central,Seke-banza,first projection,01/01/2023,30/06/2023,3+,0,0,CD20,CD2009
Apr-23,COD,109569000,Kongo Central,Songololo,first projection,01/01/2023,30/06/2023,3+,92924,0.15,CD20,CD2011
Apr-23,COD,109569000,Kongo Central,Tshela,first projection,01/01/2023,30/06/2023,3+,116233,0.15,CD20,CD2007
Apr-23,COD,109569000,Kinshasa,Masina,first projection,01/01/2023,30/06/2023,3+,276537,0.25,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Matete,first projection,01/01/2023,30/06/2023,3+,78442,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Bandalungwa,first projection,01/01/2023,30/06/2023,3+,49429,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Kinshasa,first projection,01/01/2023,30/06/2023,3+,45528,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Kintambo,first projection,01/01/2023,30/06/2023,3+,28468,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Maluku,first projection,01/01/2023,30/06/2023,3+,133677,0.3,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Barumbu,first projection,01/01/2023,30/06/2023,3+,41310,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Bumbu,first projection,01/01/2023,30/06/2023,3+,150284,0.2,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Gombe,first projection,01/01/2023,30/06/2023,3+,8080,0.05,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Kalamu,first projection,01/01/2023,30/06/2023,3+,50058,0.1,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Kasa vubu,first projection,01/01/2023,30/06/2023,3+,24093,0.1,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Kimbanseke,first projection,01/01/2023,30/06/2023,3+,446557,0.25,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Kisenso,first projection,01/01/2023,30/06/2023,3+,235604,0.3,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Lemba,first projection,01/01/2023,30/06/2023,3+,58396,0.1,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Limete,first projection,01/01/2023,30/06/2023,3+,108100,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Lingwala,first projection,01/01/2023,30/06/2023,3+,23401,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Makala,first projection,01/01/2023,30/06/2023,3+,111542,0.2,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Mont ngafula,first projection,01/01/2023,30/06/2023,3+,106456,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Ndjili,first projection,01/01/2023,30/06/2023,3+,87599,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Ngaba,first projection,01/01/2023,30/06/2023,3+,49495,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Ngaliema,first projection,01/01/2023,30/06/2023,3+,211016,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Ngiri-ngiri,first projection,01/01/2023,30/06/2023,3+,44131,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Nsele,first projection,01/01/2023,30/06/2023,3+,47865,0.15,CD10,CD1000
Apr-23,COD,109569000,Kinshasa,Selembao,first projection,01/01/2023,30/06/2023,3+,94693,0.15,CD10,CD1000
Apr-23,COD,109569000,Nord Kivu,Masisi,first projection,01/01/2023,30/06/2023,3+,691433,0.4,CD61,CD6103
Apr-23,COD,109569000,Nord Kivu,Beni,first projection,01/01/2023,30/06/2023,3+,716910,0.55,CD61,CD6109
Apr-23,COD,109569000,Nord Kivu,Goma,first projection,01/01/2023,30/06/2023,3+,199968,0.25,CD61,CD6101
Apr-23,COD,109569000,Nord Kivu,Beni-ville,first projection,01/01/2023,30/06/2023,3+,176485,0.5,CD61,CD6109
Apr-23,COD,109569000,Nord Kivu,Butembo,first projection,01/01/2023,30/06/2023,3+,134302,0.2,CD61,CD6110
Apr-23,COD,109569000,Nord Kivu,Lubero,first projection,01/01/2023,30/06/2023,3+,604865,0.45,CD61,CD6105
Apr-23,COD,109569000,Nord Kivu,Nyiragongo,first projection,01/01/2023,30/06/2023,3+,199968,0.5,CD61,CD6102
Apr-23,COD,109569000,Nord Kivu,Rutshuru,first projection,01/01/2023,30/06/2023,3+,930650,0.65,CD61,CD6111
Apr-23,COD,109569000,Nord Kivu,Walikale,first projection,01/01/2023,30/06/2023,3+,217104,0.4,CD61,CD6104
Apr-23,COD,109569000,Kwilu,Bandundu,first projection,01/01/2023,30/06/2023,3+,27777,0.1,CD32,CD3201
Apr-23,COD,109569000,Kwilu,Idiofa,first projection,01/01/2023,30/06/2023,3+,261341,0.15,CD32,CD3206
Apr-23,COD,109569000,Kwilu,Bagata,first projection,01/01/2023,30/06/2023,3+,313223,0.45,CD32,CD3202
Apr-23,COD,109569000,Kwilu,Bulungu,first projection,01/01/2023,30/06/2023,3+,169614,0.1,CD32,CD3204
Apr-23,COD,109569000,Kwilu,Gungu,first projection,01/01/2023,30/06/2023,3+,261998,0.35,CD32,CD3210
Apr-23,COD,109569000,Kwilu,Kikwit,first projection,01/01/2023,30/06/2023,3+,69291,0.1,CD32,CD3203
Apr-23,COD,109569000,Kwilu,Masi-manimba,first projection,01/01/2023,30/06/2023,3+,253725,0.25,CD32,CD3212
Apr-23,COD,109569000,Mongala,Bumba,first projection,01/01/2023,30/06/2023,3+,259515,0.3,CD44,CD4404
Apr-23,COD,109569000,Mongala,Bongandanga,first projection,01/01/2023,30/06/2023,3+,277512,0.4,CD44,CD4405
Apr-23,COD,109569000,Mongala,Lisala,first projection,01/01/2023,30/06/2023,3+,122745,0.2,CD44,CD4402
Apr-23,COD,109569000,Kwango,Feshi,first projection,01/01/2023,30/06/2023,3+,62132,0.15,CD31,CD3103
Apr-23,COD,109569000,Kwango,Kahemba,first projection,01/01/2023,30/06/2023,3+,115398,0.25,CD31,CD3105
Apr-23,COD,109569000,Kwango,Kenge,first projection,01/01/2023,30/06/2023,3+,152687,0.2,CD31,CD3102
Apr-23,COD,109569000,Kwango,Kasongo-lunda,first projection,01/01/2023,30/06/2023,3+,250622,0.3,CD31,CD3106
Apr-23,COD,109569000,Kwango,Popokabaka,first projection,01/01/2023,30/06/2023,3+,21193,0.1,CD31,CD3108
Apr-23,COD,109569000,Lualaba,Kapanga,first projection,01/01/2023,30/06/2023,3+,60919,0.15,CD72,CD7207
Apr-23,COD,109569000,Lualaba,Kolwezi,first projection,01/01/2023,30/06/2023,3+,0,0,CD72,
Apr-23,COD,109569000,Lualaba,Dilolo,first projection,01/01/2023,30/06/2023,3+,147510,0.2,CD72,CD7205
Apr-23,COD,109569000,Lualaba,Likasi,first projection,01/01/2023,30/06/2023,3+,0,0,CD71,CD7106
Apr-23,COD,109569000,Lualaba,Lubudi,first projection,01/01/2023,30/06/2023,3+,85651,0.1,CD72,CD7203
Apr-23,COD,109569000,Lualaba,Mutshatsha,first projection,01/01/2023,30/06/2023,3+,20451,0.05,CD72,CD7202
Apr-23,COD,109569000,Lualaba,Sandoa,first projection,01/01/2023,30/06/2023,3+,113364,0.2,CD72,CD7206
Apr-23,COD,109569000,Tanganyika,Nyunzu,first projection,01/01/2023,30/06/2023,3+,170357,0.45,CD74,CD7410
Apr-23,COD,109569000,Tanganyika,Kabalo,first projection,01/01/2023,30/06/2023,3+,165845,0.45,CD74,CD7407
Apr-23,COD,109569000,Tanganyika,Kalemie,first projection,01/01/2023,30/06/2023,3+,474255,0.5,CD74,CD7402
Apr-23,COD,109569000,Tanganyika,Kongolo,first projection,01/01/2023,30/06/2023,3+,251521,0.35,CD74,CD7409
Apr-23,COD,109569000,Tanganyika,Manono,first projection,01/01/2023,30/06/2023,3+,513312,0.5,CD74,CD7406
Apr-23,COD,109569000,Tanganyika,Moba,first projection,01/01/2023,30/06/2023,3+,248539,0.35,CD74,CD7404
Apr-23,COD,109569000,Kasaï Oriental,Mbuji-mayi,first projection,01/01/2023,30/06/2023,3+,777814,0.3,CD82,CD8201
Apr-23,COD,109569000,Kasaï Oriental,Miabi,first projection,01/01/2023,30/06/2023,3+,86868,0.3,CD82,CD8205
Apr-23,COD,109569000,Kasaï Oriental,Kabeya-kamwanga,first projection,01/01/2023,30/06/2023,3+,63756,0.4,CD82,CD8207
Apr-23,COD,109569000,Kasaï Oriental,Katanda,first projection,01/01/2023,30/06/2023,3+,134382,0.4,CD82,CD8209
Apr-23,COD,109569000,Kasaï Oriental,Lupatapata,first projection,01/01/2023,30/06/2023,3+,81985,0.3,CD82,CD8208
Apr-23,COD,109569000,Kasaï Oriental,Tshilenge,first projection,01/01/2023,30/06/2023,3+,44391,0.1,CD82,CD8202
Apr-23,COD,109569000,Sud Kivu,Bukavu,first projection,01/01/2023,30/06/2023,3+,50535,0.05,CD62,CD6201
Apr-23,COD,109569000,Sud Kivu,Fizi,first projection,01/01/2023,30/06/2023,3+,222711,0.25,CD62,CD6210
Apr-23,COD,109569000,Sud Kivu,Idjwi,first projection,01/01/2023,30/06/2023,3+,30049,0.1,CD62,CD6206
Apr-23,COD,109569000,Sud Kivu,Kabare,first projection,01/01/2023,30/06/2023,3+,164475,0.15,CD62,CD6202
Apr-23,COD,109569000,Sud Kivu,Kalehe,first projection,01/01/2023,30/06/2023,3+,223541,0.25,CD62,CD6205
Apr-23,COD,109569000,Sud Kivu,Mwenga,first projection,01/01/2023,30/06/2023,3+,119096,0.15,CD62,CD6212
Apr-23,COD,109569000,Sud Kivu,Shabunda,first projection,01/01/2023,30/06/2023,3+,142613,0.2,CD62,CD6203
Apr-23,COD,109569000,Sud Kivu,Uvira,first projection,01/01/2023,30/06/2023,3+,81773,0.15,CD62,CD6208
Apr-23,COD,109569000,Sud Kivu,Walungu,first projection,01/01/2023,30/06/2023,3+,120997,0.15,CD62,CD6207
Apr-23,COD,109569000,Nord-Ubangi,Bosobolo,first projection,01/01/2023,30/06/2023,3+,77310,0.2,CD43,CD4306
Apr-23,COD,109569000,Nord-Ubangi,Businga,first projection,01/01/2023,30/06/2023,3+,111636,0.2,CD43,CD4305
Apr-23,COD,109569000,Nord-Ubangi,Mobayi-Mbongo,first projection,01/01/2023,30/06/2023,3+,31021,0.25,CD43,CD4302
Apr-23,COD,109569000,Nord-Ubangi,Ville de Gbadolite,first projection,01/01/2023,30/06/2023,3+,24015,0.15,CD43,CD4301
Apr-23,COD,109569000,Nord-Ubangi,Yakoma,first projection,01/01/2023,30/06/2023,3+,54627,0.15,CD43,CD4304
Apr-23,COD,109569000,Haut Uélé,Faradje,first projection,01/01/2023,30/06/2023,3+,71042,0.15,CD53,CD5307
Apr-23,COD,109569000,Haut Uélé,Dungu,first projection,01/01/2023,30/06/2023,3+,50395,0.2,CD53,CD5305
Apr-23,COD,109569000,Haut Uélé,Niangara,first projection,01/01/2023,30/06/2023,3+,37108,0.25,CD53,CD5303
Apr-23,COD,109569000,Haut Uélé,Rungu,first projection,01/01/2023,30/06/2023,3+,67991,0.15,CD53,CD5302
Apr-23,COD,109569000,Haut Uélé,Wamba,first projection,01/01/2023,30/06/2023,3+,79689,0.15,CD53,CD5311
Apr-23,COD,109569000,Haut Uélé,Watsa,first projection,01/01/2023,30/06/2023,3+,91265,0.25,CD53,CD5309
Apr-23,COD,109569000,Maniema,Kabambare,first projection,01/01/2023,30/06/2023,3+,189795,0.35,CD63,CD6309
Apr-23,COD,109569000,Maniema,Kailo,first projection,01/01/2023,30/06/2023,3+,44735,0.25,CD63,CD6302
Apr-23,COD,109569000,Maniema,Kasongo,first projection,01/01/2023,30/06/2023,3+,191637,0.25,CD63,CD6311
Apr-23,COD,109569000,Maniema,Kibombo,first projection,01/01/2023,30/06/2023,3+,59503,0.25,CD63,CD6313
Apr-23,COD,109569000,Maniema,Kindu,first projection,01/01/2023,30/06/2023,3+,49356,0.15,CD63,CD6301
Apr-23,COD,109569000,Maniema,Lubutu,first projection,01/01/2023,30/06/2023,3+,88468,0.35,CD63,CD6305
Apr-23,COD,109569000,Maniema,Pangi,first projection,01/01/2023,30/06/2023,3+,118157,0.25,CD63,CD6307
Apr-23,COD,109569000,Maniema,Punia,first projection,01/01/2023,30/06/2023,3+,64632,0.3,CD63,CD6303
Jul-22,COD,109569000,Ituri,Aru,current,01/07/2022,31/12/2022,3+,116787,0.15,CD54,CD5409
Jul-22,COD,109569000,Ituri,Aru,first projection,01/01/2023,30/06/2023,3+,116787,0.15,CD54,CD5409
Jul-22,COD,109569000,Ituri,Mahagi,current,01/07/2022,31/12/2022,3+,380691,0.35,CD54,CD5407
Jul-22,COD,109569000,Ituri,Mahagi,first projection,01/01/2023,30/06/2023,3+,489459,0.45,CD54,CD5407
Jul-22,COD,109569000,Ituri,Irumu,current,01/07/2022,31/12/2022,3+,156587,0.35,CD54,CD5402
Jul-22,COD,109569000,Ituri,Irumu,first projection,01/01/2023,30/06/2023,3+,178955,0.4,CD54,CD5402
Jul-22,COD,109569000,Ituri,Mambasa,current,01/07/2022,31/12/2022,3+,117032,0.4,CD54,CD5403
Jul-22,COD,109569000,Ituri,Mambasa,first projection,01/01/2023,30/06/2023,3+,87774,0.3,CD54,CD5403
Jul-22,COD,109569000,Ituri,Djugu,current,01/07/2022,31/12/2022,3+,494326,0.35,CD54,CD5405
Jul-22,COD,109569000,Ituri,Djugu,first projection,01/01/2023,30/06/2023,3+,353090,0.25,CD54,CD5405
Jul-22,COD,109569000,Equateur,Basankusu,current,01/07/2022,31/12/2022,3+,109132,0.35,CD41,CD4107
Jul-22,COD,109569000,Equateur,Basankusu,first projection,01/01/2023,30/06/2023,3+,124722,0.4,CD41,CD4107
Jul-22,COD,109569000,Equateur,Bikoro,current,01/07/2022,31/12/2022,3+,67361,0.25,CD41,CD4102
Jul-22,COD,109569000,Equateur,Bikoro,first projection,01/01/2023,30/06/2023,3+,94304,0.35,CD41,CD4102
Jul-22,COD,109569000,Equateur,Bolomba,current,01/07/2022,31/12/2022,3+,112819,0.3,CD41,CD4108
Jul-22,COD,109569000,Equateur,Bolomba,first projection,01/01/2023,30/06/2023,3+,112818,0.3,CD41,CD4108
Jul-22,COD,109569000,Equateur,Bomongo,current,01/07/2022,31/12/2022,3+,48306,0.3,CD41,CD4104
Jul-22,COD,109569000,Equateur,Bomongo,first projection,01/01/2023,30/06/2023,3+,40254,0.25,CD41,CD4104
Jul-22,COD,109569000,Equateur,Ingende,current,01/07/2022,31/12/2022,3+,75979,0.35,CD41,CD4109
Jul-22,COD,109569000,Equateur,Ingende,first projection,01/01/2023,30/06/2023,3+,75978,0.35,CD41,CD4109
Jul-22,COD,109569000,Equateur,Lukolela,current,01/07/2022,31/12/2022,3+,52481,0.35,CD41,CD4103
Jul-22,COD,109569000,Equateur,Lukolela,first projection,01/01/2023,30/06/2023,3+,52481,0.35,CD41,CD4103
Jul-22,COD,109569000,Equateur,Makanza,current,01/07/2022,31/12/2022,3+,35843,0.35,CD41,CD4105
Jul-22,COD,109569000,Equateur,Makanza,first projection,01/01/2023,30/06/2023,3+,35843,0.35,CD41,CD4105
Jul-22,COD,109569000,Equateur,Mbandaka,current,01/07/2022,31/12/2022,3+,63525,0.2,CD41,CD4101
Jul-22,COD,109569000,Equateur,Mbandaka,first projection,01/01/2023,30/06/2023,3+,47643,0.15,CD41,CD4101
Jul-22,COD,109569000,Tshopo,Basoko,current,01/07/2022,31/12/2022,3+,80596,0.25,CD51,CD5109
Jul-22,COD,109569000,Tshopo,Basoko,first projection,01/01/2023,30/06/2023,3+,96715,0.3,CD51,CD5109
Jul-22,COD,109569000,Tshopo,Isangi,current,01/07/2022,31/12/2022,3+,79841,0.15,CD51,CD5105
Jul-22,COD,109569000,Tshopo,Isangi,first projection,01/01/2023,30/06/2023,3+,133068,0.25,CD51,CD5105
Jul-22,COD,109569000,Tshopo,Kisangani,current,01/07/2022,31/12/2022,3+,118969,0.15,CD51,CD5101
Jul-22,COD,109569000,Tshopo,Kisangani,first projection,01/01/2023,30/06/2023,3+,118969,0.15,CD51,CD5101
Jul-22,COD,109569000,Tshopo,Banalia,current,01/07/2022,31/12/2022,3+,72746,0.3,CD51,CD5110
Jul-22,COD,109569000,Tshopo,Banalia,first projection,01/01/2023,30/06/2023,3+,72746,0.3,CD51,CD5110
Jul-22,COD,109569000,Tshopo,Bafwasende,current,01/07/2022,31/12/2022,3+,49615,0.25,CD51,CD5111
Jul-22,COD,109569000,Tshopo,Bafwasende,first projection,01/01/2023,30/06/2023,3+,59538,0.3,CD51,CD5111
Jul-22,COD,109569000,Tshopo,Opala,current,01/07/2022,31/12/2022,3+,37297,0.15,CD51,CD5103
Jul-22,COD,109569000,Tshopo,Opala,first projection,01/01/2023,30/06/2023,3+,49729,0.2,CD51,CD5103
Jul-22,COD,109569000,Tshopo,Ubundu,current,01/07/2022,31/12/2022,3+,58877,0.2,CD51,CD5102
Jul-22,COD,109569000,Tshopo,Ubundu,first projection,01/01/2023,30/06/2023,3+,44158,0.15,CD51,CD5102
Jul-22,COD,109569000,Tshopo,Yahuma,current,01/07/2022,31/12/2022,3+,43038,0.25,CD51,CD5107
Jul-22,COD,109569000,Tshopo,Yahuma,first projection,01/01/2023,30/06/2023,3+,51645,0.3,CD51,CD5107
Jul-22,COD,109569000,Bas Uélé,Ango,current,01/07/2022,31/12/2022,3+,24027,0.2,CD52,CD5207
Jul-22,COD,109569000,Bas Uélé,Ango,first projection,01/01/2023,30/06/2023,3+,30032,0.25,CD52,CD5207
Jul-22,COD,109569000,Bas Uélé,Buta,current,01/07/2022,31/12/2022,3+,60637,0.2,CD52,CD5202
Jul-22,COD,109569000,Bas Uélé,Buta,first projection,01/01/2023,30/06/2023,3+,45477,0.15,CD52,CD5202
Jul-22,COD,109569000,Bas Uélé,Aketi,current,01/07/2022,31/12/2022,3+,35732,0.15,CD52,CD5204
Jul-22,COD,109569000,Bas Uélé,Aketi,first projection,01/01/2023,30/06/2023,3+,35731,0.15,CD52,CD5204
Jul-22,COD,109569000,Bas Uélé,Bambesa,current,01/07/2022,31/12/2022,3+,28868,0.2,CD52,CD5209
Jul-22,COD,109569000,Bas Uélé,Bambesa,first projection,01/01/2023,30/06/2023,3+,21649,0.15,CD52,CD5209
Jul-22,COD,109569000,Bas Uélé,Bondo,current,01/07/2022,31/12/2022,3+,72939,0.25,CD52,CD5206
Jul-22,COD,109569000,Bas Uélé,Bondo,first projection,01/01/2023,30/06/2023,3+,102113,0.35,CD52,CD5206
Jul-22,COD,109569000,Bas Uélé,Poko,current,01/07/2022,31/12/2022,3+,52039,0.2,CD52,CD5208
Jul-22,COD,109569000,Bas Uélé,Poko,first projection,01/01/2023,30/06/2023,3+,65047,0.25,CD52,CD5208
Jul-22,COD,109569000,Nord Kivu,Beni-ville,current,01/07/2022,31/12/2022,3+,123540,0.35,CD61,CD6109
Jul-22,COD,109569000,Nord Kivu,Beni-ville,first projection,01/01/2023,30/06/2023,3+,176485,0.5,CD61,CD6109
Jul-22,COD,109569000,Nord Kivu,Beni,current,01/07/2022,31/12/2022,3+,586563,0.45,CD61,CD6109
Jul-22,COD,109569000,Nord Kivu,Beni,first projection,01/01/2023,30/06/2023,3+,651735,0.5,CD61,CD6109
Jul-22,COD,109569000,Nord Kivu,Goma,current,01/07/2022,31/12/2022,3+,119981,0.15,CD61,CD6101
Jul-22,COD,109569000,Nord Kivu,Goma,first projection,01/01/2023,30/06/2023,3+,119980,0.15,CD61,CD6101
Jul-22,COD,109569000,Nord Kivu,Masisi,current,01/07/2022,31/12/2022,3+,864291,0.5,CD61,CD6103
Jul-22,COD,109569000,Nord Kivu,Masisi,first projection,01/01/2023,30/06/2023,3+,605003,0.35,CD61,CD6103
Jul-22,COD,109569000,Nord Kivu,Lubero,current,01/07/2022,31/12/2022,3+,470452,0.35,CD61,CD6105
Jul-22,COD,109569000,Nord Kivu,Lubero,first projection,01/01/2023,30/06/2023,3+,604865,0.45,CD61,CD6105
Jul-22,COD,109569000,Nord Kivu,Butembo,current,01/07/2022,31/12/2022,3+,100728,0.15,CD61,CD6110
Jul-22,COD,109569000,Nord Kivu,Butembo,first projection,01/01/2023,30/06/2023,3+,134302,0.2,CD61,CD6110
Jul-22,COD,109569000,Nord Kivu,Nyiragongo,current,01/07/2022,31/12/2022,3+,179972,0.45,CD61,CD6102
Jul-22,COD,109569000,Nord Kivu,Nyiragongo,first projection,01/01/2023,30/06/2023,3+,79986,0.2,CD61,CD6102
Jul-22,COD,109569000,Nord Kivu,Rutshuru,current,01/07/2022,31/12/2022,3+,429530,0.3,CD61,CD6111
Jul-22,COD,109569000,Nord Kivu,Rutshuru,first projection,01/01/2023,30/06/2023,3+,429530,0.3,CD61,CD6111
Jul-22,COD,109569000,Nord Kivu,Walikale,current,01/07/2022,31/12/2022,3+,189966,0.35,CD61,CD6104
Jul-22,COD,109569000,Nord Kivu,Walikale,first projection,01/01/2023,30/06/2023,3+,217104,0.4,CD61,CD6104
